"id","name","num","version","ws","memory","cpu","net","disk","run_time","boot_time","ip","region","time"
"654","FBCHAT-620","9","3.2.7","ws://fbchat.xyz:8080","983MB, 60%","1核心, 1.00%","0.58kb/s, 0.57kb/s","39GB, 7.8%","3 days, 1:01:58","5 days, 18:12:44","47.241.7.247","新加坡,新加坡","27/10/2020 12:17:45"
"655","FBCHAT-604","18","3.2.9","ws://fbchat.xyz:8081","983MB, 53%","1核心, 2.00%","0.6kb/s, 0.62kb/s","39GB, 8.5%","1:11:57","10 days, 20:25:03","47.241.10.236","新加坡,新加坡","27/10/2020 12:17:39"
"656","FBCHAT-288","13","3.2.7","ws://fbchat.xyz:8080","480MB, 63%","1核心, 1.00%","0.0kb/s, 0.0kb/s","39GB, 10.5%","1 day, 19:21:01","5 days, 11:58:49","8.210.69.41","香港,中国","27/10/2020 12:17:40"
"657","FBCHAT-289","28","3.2.7","ws://fbchat.xyz:8080","480MB, 89%","1核心, 2.00%","0.54kb/s, 0.86kb/s","39GB, 10.9%","20:33:24","5 days, 11:36:24","8.210.107.125","香港,中国","27/10/2020 12:17:46"
"658","FBCHAT-618","25","3.2.7","ws://fbchat.xyz:8080","983MB, 64%","1核心, 1.00%","0.33kb/s, 0.36kb/s","39GB, 7.9%","1 day, 19:25:42","6 days, 18:36:43","161.117.183.127","新加坡,新加坡","27/10/2020 12:17:31"
"659","FBCHAT-613","6","3.2.7","ws://fbchat.xyz:8080","990MB, 80%","1核心, 0.00%","0.5kb/s, 0.36kb/s","23GB, 10.9%","3 days, 1:00:55","7 days, 16:50:09","139.180.145.64","新加坡,新加坡","27/10/2020 12:17:20"
"660","FBCHAT-401","5","3.2.7","ws://fbchat.xyz:8080","480MB, 53%","1核心, 1.00%","0.0kb/s, 0.0kb/s","39GB, 8.7%","2:29:26","3 days, 22:29:27","47.241.31.163","新加坡,新加坡","27/10/2020 12:17:30"
"661","FBCHAT-284","23","3.2.7","ws://fbchat.xyz:8080","983MB, 84%","1核心, 1.00%","1.01kb/s, 0.96kb/s","39GB, 11.5%","2 days, 21:16:58","2 days, 21:17:05","8.210.207.27","香港,中国","27/10/2020 12:17:31"
"662","FBCHAT-617","5","3.2.7","ws://fbchat.xyz:8080","983MB, 52%","1核心, 1.00%","0.1kb/s, 0.1kb/s","39GB, 7.9%","3 days, 1:01:26","6 days, 20:32:08","47.241.74.129","新加坡,新加坡","27/10/2020 12:17:25"
"663","FBCHAT-601","18","3.2.9","ws://fbchat.xyz:8081","983MB, 50%","1核心, 1.00%","0.42kb/s, 0.86kb/s","39GB, 8.7%","1:11:55","10 days, 21:35:59","161.117.250.124","新加坡,新加坡","27/10/2020 12:17:43"
"664","FBCHAT-290","16","3.2.9","ws://fbchat.xyz:8081","983MB, 48%","1核心, 1.00%","0.27kb/s, 0.26kb/s","39GB, 10.3%","1:11:55","58 days, 18:39:26","8.210.103.180","香港,中国","27/10/2020 12:17:34"
"665","FBCHAT-614","3","3.2.7","ws://fbchat.xyz:8080","983MB, 79%","1核心, 1.00%","0.87kb/s, 0.89kb/s","39GB, 8.5%","2 days, 21:31:01","2 days, 21:31:08","47.242.74.95","美国,美国","27/10/2020 12:17:27"
"666","FBCHAT-615","13","3.2.7","ws://fbchat.xyz:8080","983MB, 74%","1核心, 1.00%","0.8kb/s, 0.79kb/s","39GB, 7.9%","3 days, 1:38:07","6 days, 20:32:12","47.241.73.60","新加坡,新加坡","27/10/2020 12:17:29"
"667","FBCHAT-403","13","3.2.9","ws://fbchat.xyz:8081","983MB, 50%","1核心, 1.00%","8.97kb/s, 1.28kb/s","39GB, 8.8%","1:11:56","2 days, 21:31:11","47.241.24.133","新加坡,新加坡","27/10/2020 12:17:39"
"668","FBCHAT-622","14","3.2.7","ws://fbchat.xyz:8080","983MB, 68%","1核心, 1.00%","0.33kb/s, 0.36kb/s","39GB, 7.8%","3 days, 1:01:57","5 days, 2:31:25","47.241.37.138","新加坡,新加坡","27/10/2020 12:17:31"
"669","FBCHAT-619","3","3.2.9","ws://fbchat.xyz:8082","983MB, 40%","1核心, 1.00%","0.0kb/s, 0.0kb/s","39GB, 7.8%","1:11:54","5 days, 21:37:03","47.241.35.218","新加坡,新加坡","27/10/2020 12:17:32"
"670","FBCHAT-603","9","3.2.9","ws://fbchat.xyz:8081","983MB, 48%","1核心, 0.00%","0.2kb/s, 0.17kb/s","39GB, 8.1%","1:11:55","10 days, 21:35:35","47.241.12.19","新加坡,新加坡","27/10/2020 12:17:23"
"671","FBCHAT-305","0","3.2.8","ws://fbchat.xyz:8083","16384MB, 78%","8核心, 12.90%","4.0kb/s, 9.0kb/s","931GB, 1.4%","0:00:06","1 day, 1:53:03","116.21.30.208","广东,中国","27/10/2020 11:03:29"
"672","FBCHAT-602","18","3.2.9","ws://fbchat.xyz:8081","983MB, 52%","1核心, 1.00%","0.84kb/s, 0.83kb/s","39GB, 9.2%","1:11:55","10 days, 21:35:36","47.241.32.195","新加坡,新加坡","27/10/2020 12:17:23"
"673","FBCHAT-285","21","3.2.7","ws://fbchat.xyz:8080","480MB, 92%","1核心, 1.00%","0.33kb/s, 0.36kb/s","39GB, 10.7%","3 days, 1:01:58","5 days, 11:56:35","8.210.144.248","香港,中国","27/10/2020 12:17:36"
"674","FBCHAT-402","12","3.2.9","ws://fbchat.xyz:8081","983MB, 46%","1核心, 0.00%","0.51kb/s, 6.33kb/s","39GB, 9.3%","1:11:56","2 days, 21:30:57","161.117.254.6","新加坡,新加坡","27/10/2020 12:17:25"
"675","FBCHAT-616","6","3.2.7","ws://fbchat.xyz:8080","983MB, 58%","1核心, 1.00%","0.0kb/s, 0.0kb/s","39GB, 8.4%","3 days, 1:01:57","3 days, 23:07:04","47.241.72.101","新加坡,新加坡","27/10/2020 12:17:39"
"676","FBCHAT-287","15","3.2.7","ws://fbchat.xyz:8080","480MB, 86%","1核心, 1.00%","0.43kb/s, 0.61kb/s","39GB, 10.8%","3 days, 1:01:58","5 days, 11:35:22","8.210.230.111","香港,中国","27/10/2020 12:17:39"
"677","FBCHAT-621","16","3.2.7","ws://fbchat.xyz:8080","983MB, 65%","1核心, 1.00%","0.47kb/s, 0.43kb/s","39GB, 7.8%","3 days, 1:01:58","5 days, 2:31:34","47.241.15.189","新加坡,新加坡","27/10/2020 12:17:41"
"679","FBCHAT-628","0","3.2.9","ws://fbchat.xyz:8084","480MB, 45%","1核心, 0.00%","0.0kb/s, 0.0kb/s","39GB, 7.8%","1:11:42","2 days, 14:06:10","161.117.236.83","新加坡,新加坡","27/10/2020 12:17:27"
"682","FBCHAT-630","20","3.2.8","ws://fbchat.xyz:8080","480MB, 92%","1核心, 0.00%","0.8kb/s, 0.79kb/s","39GB, 7.7%","2 days, 14:03:43","2 days, 14:06:05","47.241.37.142","新加坡,新加坡","27/10/2020 12:17:22"
"685","FBCHAT-634","19","3.2.8","ws://fbchat.xyz:8080","480MB, 84%","1核心, 1.00%","3.96kb/s, 65.04kb/s","39GB, 8.1%","3:06:07","2 days, 14:06:14","161.117.225.103","新加坡,新加坡","27/10/2020 12:17:31"
"686","FBCHAT-635","20","3.2.8","ws://fbchat.xyz:8080","480MB, 91%","1核心, 1.00%","0.47kb/s, 0.43kb/s","39GB, 7.8%","2 days, 14:03:43","2 days, 14:06:13","161.117.228.8","新加坡,新加坡","27/10/2020 12:17:30"
"687","FBCHAT-636","11","3.2.8","ws://fbchat.xyz:8080","480MB, 78%","1核心, 0.00%","0.74kb/s, 0.63kb/s","39GB, 7.8%","2 days, 14:03:43","2 days, 14:06:14","161.117.236.5","新加坡,新加坡","27/10/2020 12:17:31"
"689","FBCHAT-640","5","3.2.8","ws://fbchat.xyz:8080","990MB, 60%","1核心, 0.00%","0.2kb/s, 0.14kb/s","23GB, 10.8%","2 days, 3:19:57","2 days, 3:25:01","45.32.113.7","新加坡,新加坡","27/10/2020 12:17:44"
"690","WHATSAPP-625","0","1.1","ws://127.0.0.1:8090","16245 MB,29%","8核心,20.8%","0 kb/s,0 kb/s","1321.72 GB,63.41%","2020-10-26 18:46:44","2020-10-26 18:46:44","183.47.149.223","China","27/10/2020 11:02:42"
